"ID","NAME_RR"
"MSTN_031","Shaw-Howard Univ"
"MSTN_058","Cheverly"
"MSTN_084","Capitol Heights"
"MSTN_036","U Street"
"MSTN_057","Landover"
"MSTN_050","Medical Center"
"MSTN_056","New Carrollton"
"MSTN_054","Prince George's Plaza"
"MSTN_047","Grosvenor-Strathmore"
"MSTN_043","Twinbrook"
"MSTN_046","Wheaton"
"MSTN_018","Friendship Heights"
"MSTN_052","Bethesda"
"MSTN_028","NoMa-Gallaudet U"
"MSTN_003","Benning Road"
"MSTN_008","Congress Heights"
"MSTN_086","Morgan Boulevard"
"MSTN_085","Largo Town Center"
"MSTN_004","Brookland-CUA"
"MSTN_040","Woodley Park"
"MSTN_006","Cleveland Park"
"MSTN_038","Van Ness-UDC"
"MSTN_010","Dupont Circle"
"MSTN_022","L'Enfant Plaza"
"MSTN_009","Deanwood"
"MSTN_033","Stadium-Armory"
"MSTN_017","Fort Totten"
"MSTN_012","Farragut North"
"MSTN_035","Tenleytown-AU"
"MSTN_027","Navy Yard-Ballpark"
"MSTN_011","Eastern Market"
"MSTN_029","Potomac Ave"
"MSTN_030","Rhode Island Ave"
"MSTN_001","Anacostia"
"MSTN_034","Takoma"
"MSTN_014","Federal Center SW"
"MSTN_039","Waterfront"
"MSTN_019","Gallery Place"
"MSTN_002","Archives"
"MSTN_024","Metro Center"
"MSTN_015","Federal Triangle"
"MSTN_076","Southern Ave"
"MSTN_074","Naylor Road"
"MSTN_023","McPherson Square"
"MSTN_013","Farragut West"
"MSTN_042","Rockville"
"MSTN_016","Foggy Bottom-GWU"
"MSTN_041","Shady Grove"
"MSTN_072","Crystal City"
"MSTN_073","Ronald Reagan Washington National Airport"
"MSTN_080","Eisenhower Ave"
"MSTN_075","Suitland"
"MSTN_026","Mt Vernon Sq"
"MSTN_081","Van Dorn Street"
"MSTN_082","Huntington"
"MSTN_060","Rosslyn"
"MSTN_067","Dunn Loring"
"MSTN_069","Vienna"
"MSTN_049","Greenbelt"
"MSTN_053","College Park-U of Md"
"MSTN_055","West Hyattsville"
"MSTN_064","East Falls Church"
"MSTN_061","Court House"
"MSTN_068","Ballston-MU"
"MSTN_063","Clarendon"
"MSTN_037","Union Station"
"MSTN_021","Judiciary Square"
"MSTN_005","Capitol South"
"MSTN_032","Smithsonian"
"MSTN_066","Virginia Square-GMU"
"MSTN_065","Arlington Cemetery"
"MSTN_070","Pentagon"
"MSTN_071","Pentagon City"
"MSTN_062","Addison Road"
"MSTN_078","Braddock Road"
"MSTN_079","King St-Old Town"
"MSTN_059","West Falls Church"
"MSTN_083","Franconia-Springfield"
"MSTN_044","Glenmont"
"MSTN_051","Silver Spring"
"MSTN_048","Forest Glen"
"MSTN_077","Branch Ave"
"MSTN_045","White Flint"
"MSTN_025","Minnesota Ave"
"MSTN_007","Columbia Heights"
"MSTN_020","Georgia Ave-Petworth"
"MSTN_087","McLean"
"MSTN_088","Tysons Corner"
"MSTN_089","Greensboro"
"MSTN_090","Spring Hill"
"MSTN_091","Wiehle-Reston East"
